04-12 16:53:50.349   12013-13816   C02b2b/TaskQueue                com.opens...is.music  I     #153 Enter TaskProcessor [OS_AVPlayerNapi], tid_: (13816)
04-12 16:53:50.349   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     [a92ab15d9e53df1, 0, 0] #193 0xF52C00 Constructor success
04-12 16:53:50.349   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #3435 0xF52C00 JsSetOnCallback callbackName: stateChange success
04-12 16:53:50.349   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #3435 0xF52C00 JsSetOnCallback callbackName: timeUpdate success
04-12 16:53:50.350   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #3435 0xF52C00 JsSetOnCallback callbackName: seekDone success
04-12 16:53:50.350   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #3435 0xF52C00 JsSetOnCallback callbackName: durationUpdate success
04-12 16:53:50.350   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #3435 0xF52C00 JsSetOnCallback callbackName: audioInterrupt success
04-12 16:53:50.350   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #3435 0xF52C00 JsSetOnCallback callbackName: error success
04-12 16:53:50.351   12013-13815   C02d07/Config                   com.opens...is.music  I     get free size=3950755840
04-12 16:53:50.351   12013-13815   C02d07/ObserverMgr              com.opens...is.music  I     init watchers
04-12 16:53:50.353   12013-13588   C01203/Ans                      com.opens...is.music  E     Read result failed, code is: 90.
04-12 16:53:50.353   12013-13588   C05301/live_view_manager        com.opens...is.music  I     [live_view_client.cpp:621] IsLiveViewEnabled# GetEnabledForBundleSlot ret is 67108888
04-12 16:53:50.353   12013-12013   C01350/WantAgent                com.opens...is.music  I     [napi_want_agent1304]on get wantAgent
04-12 16:53:50.354   12013-12013   C05301/live_view_manager        com.opens...is.music  I     [live_view_param_validate.cpp:1280] ExtendDataParamValidate# The extensionData is nullptr
04-12 16:53:50.354   12013-12013   C05301/live_view_manager        com.opens...is.music  E     [live_view_handler.cpp:237] StartLiveView# StartLiveView async work fail: [Error(401), description(Parameter error. The type of layoutData.nodeIcons mustbe Array<string | image.PixelMap> [or the parameter length exceeds the limit].)]
04-12 16:53:50.358   12013-12013   C01350/WantAgent                com.opens...is.music  I     [napi_want_agent1304]on get wantAgent
04-12 16:53:50.359   12013-12013   C05301/live_view_manager        com.opens...is.music  E     [live_view_handler.cpp:237] StartLiveView# StartLiveView async work fail: [Error(401), description(Parameter error. The type of primary.layoutData mustbe LayoutData [or the parameter is mandatory].)]
04-12 16:53:50.359   12013-12013   A03d00/JSAPP                    com.opens...is.music  E     startMusicLiveView compact retry failed: {"code":401}
04-12 16:53:50.359   12013-12013   A03d00/JSAPP                    com.opens...is.music  E     startMusicLiveView failed: {"code":401}
04-12 16:53:50.359   12013-12013   C01350/WantAgent                com.opens...is.music  I     [napi_want_agent1304]on get wantAgent
04-12 16:53:50.361   12013-12013   C02b91/AVSession                com.opens...is.music  I     [RegisterServiceStartCallback]RegisterServiceStartCallback
